"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,
130268756992804_2003717269647934,https://www.facebook.com/YaleClimateConnections/posts/2003717269647934,"You couldn’t do this with fossil fuels. ⚡️🚗",Link,,,"07/30/2018 06:00:50 AM"," ",80095,29238,51567,104872,39961,64911,10027,2270,2647,10,10,6743,4764,5,5,551,0,0,0,0,0,0,0,0,0,0,1402,8803,319,1430,8998,467,1753,1,660,,1957,1,689,,1,7,2,1,7,2
130268756992804_1998760333476961,https://www.facebook.com/YaleClimateConnections/posts/1998760333476961,"If you talk about climate change with somebody who doubts the science, here are a few ways to make sure the conversation is constructive. (Getting angry is not one of them.)",Link,,,"07/27/2018 12:31:00 PM"," ",18355,11280,7486,24279,15422,8857,1505,909,1252,7,8,5025,3757,8,8,326,0,0,0,0,0,0,0,0,0,0,256,791,63,265,826,115,419,,584,,633,,619,,1,6,1,1,5,1
130268756992804_1998557716830556,https://www.facebook.com/YaleClimateConnections/posts/1998557716830556,"A co-benefit of solar: shade. 😎",Link,,,"07/27/2018 06:00:54 AM"," ",12408,4349,8138,15321,5725,9596,1460,253,298,3,4,3407,2450,19,16,138,0,0,0,0,0,0,0,0,0,0,88,1347,9,88,1355,10,129,1,141,,152,1,145,,,4,,,3,
130268756992804_1996815510338110,https://www.facebook.com/YaleClimateConnections/posts/1996815510338110,"Solving the energy storage problem requires thinking outside the box — in this case, thinking inside the mine shaft.",Link,,,"07/26/2018 06:02:21 AM"," ",10888,3968,7255,13348,5440,7908,1064,362,469,7,7,3301,2301,13,12,153,0,0,0,0,0,0,0,0,0,0,78,828,23,82,829,32,140,,255,,198,,271,,,7,,,7,
130268756992804_1995110297175298,https://www.facebook.com/YaleClimateConnections/posts/1995110297175298,"What’s driving the loss of forests?",Link,,,"07/25/2018 06:00:34 AM"," ",21029,7302,14071,26318,9865,16453,2678,1271,1522,8,8,3247,2213,21,16,328,0,0,0,0,0,0,0,0,0,0,445,1732,155,456,1799,254,563,,786,,705,,817,,,8,,,8,
130268756992804_1993353740684287,https://www.facebook.com/YaleClimateConnections/posts/1993353740684287,"“For a lot of people across the U.S., they’re not going to take climate change seriously unless their friends and their families start talking about it with them.” 
— Kyle Meyaard-Schaap, national organizer of Young Evangelicals for Climate Action",Link,,,"07/24/2018 06:01:05 AM"," ",12611,6856,6182,16237,9230,7007,1688,441,558,9,9,5218,3515,12,11,346,0,0,0,0,0,0,0,0,0,0,181,1426,40,184,1446,127,310,,154,,400,,158,,,9,,,9,
130268756992804_1991669420852719,https://www.facebook.com/YaleClimateConnections/posts/1991669420852719,"A future without fossil fuels is on the horizon.",Link,,,"07/23/2018 06:00:56 AM"," ",32356,11919,21146,42892,15970,26922,4607,980,1232,15,16,5264,3660,21,19,430,0,0,0,0,0,0,0,0,0,0,587,4127,139,612,4220,230,783,,230,,991,,241,,3,12,1,3,11,1
130268756992804_1986511028035225,https://www.facebook.com/YaleClimateConnections/posts/1986511028035225,"When it seems like every fictional future is a dystopian one, stories like these are a breath of fresh air:",Link,,,"07/20/2018 06:02:07 AM"," ",6531,6531,0,8905,8905,0,384,256,322,8,8,4181,2954,0,0,187,0,0,0,0,0,0,0,0,0,0,39,182,8,40,187,9,106,2,173,,139,2,181,,,8,,,8,
130268756992804_1984856964867298,https://www.facebook.com/YaleClimateConnections/posts/1984856964867298,"Your daily inspiration:",Link,,,"07/19/2018 06:00:49 AM"," ",48252,15434,33339,69373,20165,49208,8407,1659,1965,17,19,6900,4704,21,16,658,0,0,0,0,0,0,0,0,0,0,565,7660,111,578,7810,174,772,,1005,,917,,1048,,4,12,3,4,11,3
