"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,
130268756992804_2235939173092408,https://www.facebook.com/YaleClimateConnections/posts/2235939173092408,"David may gain an edge on Goliath, but that might not be good news here:",Link,,,"12/31/2018 06:02:02 AM"," ",3259,3259,0,4478,4478,0,138,71,83,6,6,3970,2792,0,0,124,0,0,0,0,0,0,0,0,0,0,10,84,,10,84,,27,50,,,33,50,,,6,,,6,,
130268756992804_2231245666895092,https://www.facebook.com/YaleClimateConnections/posts/2231245666895092,"Each day, this art exhibit begins as a vivid encounter with a coral reef. But, things change when you look closer and wait:",Link,,,"12/28/2018 06:01:42 AM"," ",3221,3221,0,4611,4611,0,138,63,78,6,7,3542,2511,0,0,76,0,0,0,0,0,0,0,0,0,0,12,108,4,12,110,5,47,17,,,61,17,,,7,,,6,,
130268756992804_2229809097038749,https://www.facebook.com/YaleClimateConnections/posts/2229809097038749,"This pension is an investment in everybody’s future:",Link,,,"12/27/2018 06:00:27 AM"," ",31712,8815,23065,44894,12163,32731,5282,310,380,14,15,5012,3510,4,4,234,0,0,0,0,0,0,0,0,0,0,420,4827,75,430,4940,117,176,141,1,,235,144,1,,12,2,1,11,2,1
130268756992804_2228155143870811,https://www.facebook.com/YaleClimateConnections/posts/2228155143870811,"It might sound gross, but it works:",Link,,,"12/26/2018 06:01:15 AM"," ",40318,15715,25479,53013,21766,31247,4891,599,759,12,12,7750,5389,3,3,391,0,0,0,0,0,0,0,0,0,0,657,4181,197,674,4181,315,268,356,1,,401,357,1,,12,,,12,,
130268756992804_2226719624014363,https://www.facebook.com/YaleClimateConnections/posts/2226719624014363,"The U.S. Green Building Council announces a “net zero” certification for buildings that prevent as much pollution as they cause:",Link,,,"12/25/2018 06:05:27 AM"," ",12512,6821,5803,17610,9229,8381,1725,154,174,6,6,6084,4267,4,3,258,0,0,0,0,0,0,0,0,0,0,144,1599,8,148,1650,9,85,75,,,96,78,,,6,,,6,,
130268756992804_2225102680842724,https://www.facebook.com/YaleClimateConnections/posts/2225102680842724,"Liliana Jaramillo seeks out native drought-resistant plants that could help her city weather the weather:",Link,,,"12/24/2018 06:01:03 AM"," ",15878,9221,6984,21327,12855,8472,2158,324,445,8,10,6747,4399,2,2,406,0,0,0,0,0,0,0,0,0,0,197,1935,32,199,1960,54,206,136,,,307,138,,,10,,,8,,
130268756992804_2219522744734051,https://www.facebook.com/YaleClimateConnections/posts/2219522744734051,"Communities across California are still dealing with the aftermath of this year’s record-breaking wildfires. Here’s how climate change is making fires more destructive than ever: http://bit.ly/2T5amyH",Video,,,"12/21/2018 11:00:00 AM"," ",35698,8774,26947,45815,11523,34292,1357,639,795,16,16,4299,3365,0,0,166,148,150,758,758,3240,3504,16328,19264,8927,92042,233,601,122,241,643,172,280,20,,377,352,20,,423,13,3,,13,3,
130268756992804_2220422541310738,https://www.facebook.com/YaleClimateConnections/posts/2220422541310738,"When your plane is idling on the runway, it’s not just an annoyance:",Link,,,"12/21/2018 06:00:28 AM"," ",4569,3063,1503,5852,4087,1765,493,105,136,5,5,3464,2591,0,0,130,0,0,0,0,0,0,0,0,0,0,21,420,15,21,420,25,62,44,,,91,45,,,5,,,5,,
130268756992804_2219237318095927,https://www.facebook.com/YaleClimateConnections/posts/2219237318095927,"Feel the heat in 2018?  Here’s why. 

https://www.yaleclimateconnections.org/2018/12/2018-the-hottest-la-nina-year-ever-recorded/",Link,,,"12/20/2018 10:08:27 AM"," ",7163,5593,1742,9545,7429,2116,756,166,212,7,7,4245,3168,1,1,225,0,0,0,0,0,0,0,0,0,0,129,595,22,132,614,50,95,77,,,134,78,,,7,,,7,,
