"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,
130268756992804_2494035133949476,https://www.facebook.com/YaleClimateConnections/posts/2494035133949476,"“And I think that’s what really started to drive me to really care about clean energy was the fact that, you know, we’re destroying God’s creation.” — Evangelical Environmental Network President Mitchell Hescox",Link,,,"06/10/2019 09:45:16 AM"," ",2518,2014,589,3349,2767,582,377,115,179,6,6,2601,1882,0,0,196,0,0,0,0,0,0,0,0,0,0,46,294,23,46,294,56,96,24,,,155,24,,,1,5,,1,5,
130268756992804_2488133981206258,https://www.facebook.com/YaleClimateConnections/posts/2488133981206258,"Sarah Moskowitz of Citizens Utility Board says that no matter where you live, it’s worth reading your utility bills closely to find ways to save energy and money:  “Educate yourself about the programs that are available.”",Link,,,"06/07/2019 04:33:00 AM"," ",1964,1964,0,2732,2732,0,68,33,39,6,8,2609,1872,0,0,65,0,0,0,0,0,0,0,0,0,0,8,46,,8,46,,25,11,,,28,11,,,1,7,,1,5,
130268756992804_2486356964717293,https://www.facebook.com/YaleClimateConnections/posts/2486356964717293,"As the summer heat ramps up, urban trees and green spaces become ever more important:",Link,,,"06/06/2019 04:55:01 AM"," ",2405,2405,0,3352,3352,0,111,68,106,7,7,3135,2267,0,0,100,0,0,0,0,0,0,0,0,0,0,21,53,6,22,53,12,50,26,,,80,26,,,1,6,,1,6,
130268756992804_2484569898229333,https://www.facebook.com/YaleClimateConnections/posts/2484569898229333,"It’s a vicious cycle: Rising temperatures ➡️ More demand for A.C. ➡️ More energy consumption and fossil fuel burning ➡️ Rising temperatures",Link,,,"06/05/2019 11:00:02 AM"," ",16224,4251,11804,22484,5663,16821,2619,284,346,6,7,4115,3028,6,5,246,0,0,0,0,0,0,0,0,0,0,369,2190,201,380,2253,344,167,126,,,220,126,,,,7,,,6,
130268756992804_2484480818238241,https://www.facebook.com/YaleClimateConnections/posts/2484480818238241,"A workforce development program helped Richard Quaofio find his path in the energy efficiency sector.  “I love this. I’m passionate about it, I’m excited about it. I’m settled. This is the path for me.”",Link,,,"06/05/2019 04:07:02 AM"," ",5584,2434,3145,7788,3347,4441,951,89,99,3,4,3071,2255,4,3,123,0,0,0,0,0,0,0,0,0,0,90,873,17,93,880,69,51,41,,,57,42,,,,4,,,3,
130268756992804_2482945078391815,https://www.facebook.com/YaleClimateConnections/posts/2482945078391815,"It's not just the Great Barrier Reef. These nine tourist destinations in the U.S. are also in danger from global warming.",Link,,,"06/04/2019 07:01:05 AM"," ",10046,2772,7190,12475,3562,8913,1575,241,301,3,4,3027,2385,4,4,157,0,0,0,0,0,0,0,0,0,0,214,1339,57,228,1409,106,62,187,,,104,197,,,,4,,,3,
130268756992804_2482736195079370,https://www.facebook.com/YaleClimateConnections/posts/2482736195079370,"Daniel Klier says that most investors want to allocate more to sustainability, but many are unsure where to put their money. This task force is trying to help:",Link,,,"06/04/2019 04:45:04 AM"," ",3386,1972,1428,4822,2686,2136,461,76,97,7,8,2516,1845,1,1,89,0,0,0,0,0,0,0,0,0,0,34,402,8,36,409,22,47,35,,,62,35,,,1,7,,1,6,
130268756992804_2480927218593601,https://www.facebook.com/YaleClimateConnections/posts/2480927218593601,"“I don't want people to make the mistake that because people live in a poor community – or a non-affluent community – that they don't care about climate change. We're doing what we do. We're working!” says Angela Chalk of Healthy Community Services, a nonprofit in New Orleans’ 7th Ward:",Link,,,"06/03/2019 04:35:04 AM"," ",16664,4469,12312,23875,6245,17630,3259,224,318,6,6,4108,2988,13,9,180,0,0,0,0,0,0,0,0,0,0,222,3032,50,227,3163,144,91,146,,,168,150,,,,6,,,6,
130268756992804_2475748979111425,https://www.facebook.com/YaleClimateConnections/posts/2475748979111425,"These books show how some businesses are responding to climate change - and making money in the process.",Link,,,"05/31/2019 08:30:01 AM"," ",2152,2152,0,2833,2833,0,99,56,70,3,4,2689,2052,0,0,84,0,0,0,0,0,0,0,0,0,0,13,56,4,16,58,6,30,29,,,41,29,,,,4,,,3,
