YCC,YCC Pub Date,      ,YCC Categories,Ad Name,Ad set,Campaign,Link,Amount Spent (USD),Ad ID,Reach,Post Engagement,Post Shares,Landing Page Views,Cost/Engagement,Cost/Share,Cost/LPV,Relevance Score,Engagements per 1k reached,Landing Page Views per 1k reach,FB Copy,FB Title,FB post link,End Date
Not in database,n/a,n/a,n/a,"2017-01-26 Yale Climate Connections -- Do we live in a world of ""alternative facts""? Climate ...",#N/A,#N/A,https://www.facebook.com/YaleClimateConnections/videos/1404191159600551/,"$1,007.11",6063609293094,"409,916","413,443","12,023",,$0.0024,$0.084,#DIV/0!,,1008.604,0,"Do we live in a world of ""alternative facts""? Climate scientists stand up and speak out about what's actually happening on our shared planet. #climatechange #globalwarming 

Learn more at: http://www.yaleclimateconnections.org",Stand Up for Science,https://www.facebook.com/YaleClimateConnections/videos/1404191159600551/,2/16/2017
Not in database,n/a,n/a,n/a,"2018-03-21 Yale Climate Connections -- Are you dealing with the snow today, even through spri...",#N/A,#N/A,https://www.facebook.com/YaleClimateConnections/videos/1835782939774702/,$287.26,6086259014294,"103,641","106,788",629,20,$0.0027,$0.457,$14.36,,1030.364,0,"Are you dealing with the snow today, even through spring has sprung? Global warming may play a role: http://bit.ly/2CJD2ES",Global Warming and Snow,https://www.facebook.com/YaleClimateConnections/videos/1835782939774702/,4/4/2018
Not in database,n/a,n/a,n/a,2018-04-02 Yale Climate Connections -- More poisonous poison ivy? We may have climate change ...,#N/A,#N/A,https://www.facebook.com/YaleClimateConnections/videos/1849191185100544/,$191.61,6086998588294,"71,582","58,243",619,,$0.0033,$0.310,#DIV/0!,,813.654,0,More poisonous poison ivy? We may have climate change to thank for that.,Poison Ivy and Climate Change,https://www.facebook.com/YaleClimateConnections/videos/1849191185100544/,5/4/2018
Not in database,n/a,n/a,n/a,2018-05-07 Yale Climate Connections -- Melting Arctic sea ice is having an impact far beyond ...,#N/A,#N/A,https://www.facebook.com/YaleClimateConnections/videos/1886491828037146/,$255.92,6089849986094,"91,553","77,379",982,13,$0.0033,$0.261,$19.69,,845.183,0,Melting Arctic sea ice is having an impact far beyond the poles: https://bit.ly/2KFiItk,Arctic ice melt and California droughts,https://www.facebook.com/YaleClimateConnections/videos/1886491828037146/,6/4/2018
Not in database,n/a,n/a,n/a,"2018-04-15 Yale Climate Connections -- This family farm is rethinking waste, and powering all...",#N/A,#N/A,https://www.facebook.com/YaleClimateConnections/videos/1863061187046877/,$231.30,6087810256294,"78,494","66,798",656,39,$0.0035,$0.353,$5.93,,850.995,0,"This family farm is rethinking waste, and powering all its operations with manure. https://bit.ly/2rOv8tx",Manure Powers the Whole Farm,https://www.facebook.com/YaleClimateConnections/videos/1863061187046877/,5/4/2018
Not in database,n/a,n/a,n/a,2018-04-27 Yale Climate Connections -- More evidence that air pollution from coal plants is a...,#N/A,#N/A,https://www.facebook.com/YaleClimateConnections/videos/1871206439565685/,$267.79,6089238999494,"73,583","68,624",766,11,$0.0039,$0.350,$24.34,,932.607,0,More evidence that air pollution from coal plants is a public health hazard with serious implications for children's health: https://bit.ly/2GyfpSj,Air pollution and children's health,https://www.facebook.com/YaleClimateConnections/videos/1871206439565685/,5/4/2018
Not in database,n/a,n/a,n/a,"2018-03-02 Yale Climate Connections -- If global warming is real, why is it snowing? Meteorol...",#N/A,#N/A,https://www.facebook.com/YaleClimateConnections/videos/1809829429036720/,$255.52,6085068715094,"63,919","64,662",629,32,$0.0040,$0.406,$7.99,,1011.624,1,"If global warming is real, why is it snowing? Meteorologist Dr. Marshall Shepherd has a response for questions like these: http://bit.ly/2CJD2ES",Global Warming and Snow,https://www.facebook.com/YaleClimateConnections/videos/1809829429036720/,4/4/2018
Not in database,n/a,n/a,n/a,2018-03-30 Yale Climate Connections -- This sunny Hawaiian island can power itself completely...,#N/A,#N/A,https://www.facebook.com/YaleClimateConnections/videos/1845636062122723/,$255.57,6086851032294,"84,864","59,418",637,11,$0.0043,$0.401,$23.23,,700.156,0,This sunny Hawaiian island can power itself completely using solar energy. https://bit.ly/2rOv8tx,This Hawaiian Island is Now a Solar Paradise,https://www.facebook.com/YaleClimateConnections/videos/1845636062122723/,4/4/2018
Not in database,n/a,n/a,n/a,2018-04-23 Yale Climate Connections -- Rooftops are getting a makeover – see how rooftop gard...,#N/A,#N/A,https://www.facebook.com/YaleClimateConnections/videos/1871201932899469/,$158.63,6088717398694,"45,983","34,198",214,6,$0.0046,$0.741,$26.44,,743.710,0,Rooftops are getting a makeover – see how rooftop gardens are changing the look and feel of cities like Denver: https://bit.ly/2G4Ql5i,Rooftop Gardens,https://www.facebook.com/YaleClimateConnections/videos/1871201932899469/,5/4/2018
Not in database,n/a,n/a,n/a,"2018-03-06 Yale Climate Connections -- Henry David Thoreau created a ""gold mine"" for climate ...",#N/A,#N/A,https://www.facebook.com/YaleClimateConnections/videos/1818250464861283/,$250.51,6085279128094,"46,444","52,442",598,40,$0.0048,$0.419,$6.26,,1129.145,1,"Henry David Thoreau created a ""gold mine"" for climate change researchers during his time at Walden Pond, according to Richard Primack of Boston University:
https://www.yaleclimateconnections.org/2016/11/thoreaus-surprising-climate-legacy/",Thoreau's Surprising Climate Legacy,https://www.facebook.com/YaleClimateConnections/videos/1818250464861283/,4/4/2018
AME church calls for climate action,11/14/2016,"African Methodist Episcopal Church, climate and religion, episcopalian, Sara Peach",Faith & Ethics,2016-11-14 Yale Climate Connections -- One of the oldest and largest black churches in Americ...,#N/A,#N/A,http://www.yaleclimateconnections.org/2016/11/african-methodist-episcopal-church-calls-for-climate-action/,$125.21,6059849729894,"22,152","2,922",273,,$0.0429,$0.459,#DIV/0!,,131.907,0,One of the oldest and largest black churches in America has taken a stand against #climatechange.  Listen in to hear how the African Methodist Episcopal Church integrates climate change into its teachings.,AME Church Calls for Climate Action ,https://www.facebook.com/130268756992804/posts/1321215384564796/,12/4/2016
Not in database,n/a,n/a,n/a,2018-05-25 Yale Climate Connections -- With the warmer weather comes a return to yard work. H...,#N/A,#N/A,https://www.facebook.com/YaleClimateConnections/videos/1905418516144477/,$188.83,6091021767894,"38,440","32,725",162,9,$0.0058,$1.166,$20.98,,851.327,0,With the warmer weather comes a return to yard work. How climate friendly is your landscaping routine? https://bit.ly/2IFD3S7,Climate Friendly Landscaping,https://www.facebook.com/YaleClimateConnections/videos/1905418516144477/,6/4/2018
Global warming: A family affair,3/20/2017,"Sara Peach, sustainability",Sustainability,2017-03-20 Yale Climate Connections -- Has climate change ever made you feel afraid for your ...,#N/A,#N/A,http://www.yaleclimateconnections.org/2017/03/global-warming-a-family-affair/,$60.88,6066473711894,"19,499","2,058",281,,$0.0296,$0.217,#DIV/0!,,105.544,0,Has climate change ever made you feel afraid for your children? A new group called Conceivable Future sparks discussion on how rising temperatures will affect the next generation.,Global warming: A family affair ,https://www.facebook.com/130268756992804/posts/1453612741325059/,4/4/2017
Indoor CO2: Dumb and dumber?,7/27/2016,"CO2, Daniel Grossman, indoor air, public health","Feature Article, Public Health",What if high levels of carbon dioxide indoors impair humans' decisionmaking s...,#N/A,#N/A,http://www.yaleclimateconnections.org/2016/07/indoor-co2-dumb-and-dumber/,$30.77,6054040685094,"6,682",449,82,,$0.0685,$0.375,#DIV/0!,,67.195,0,What if high levels of carbon dioxide indoors impair humans' decisionmaking skills ... ?,Indoor CO2: Dumb and dumber? - Yale Climate Connections,https://www.facebook.com/130268756992804/posts/1223818017637867/,9/4/2016
