YCC Story Name	Cost_Engagement
Art elevates climate's front-line voices	0.01
Why a paid climate doubter switched sides	0.01
Puerto Rico's solar-powered energy oasis	0.01
Why California has a power surplus	0.01
Law helps low-income people go solar	0.01
Hawaiian island is now a solar paradise	0.01
Young Republican wants GOP to support clean energy	0.01
Portland's fossil-fuel ban	0.01
Native Americans move toward energy independence	0.01
Company turns food waste into electricity	0.01
Manure powers an entire farm	0.01
Study: Renewables save Americans billions	0.01
Dutch trains ride the wind	0.01
Two scientists' concerns over years of inaction	0.01
How climate change hurts children's health	0.01
